image_path,true_label,category,format,mean_score,min_score,max_score,score_std,score_range,raw_label_votes,resolution_flip_count,consistency_status,final_label,is_correct_when_definite,decision_reason,raw_label_at_0_15,raw_score_at_0_15,has_exif,status,warning_count
data\test_images\day14_expansion\paired_format\ai_jpg\ai_027_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,0.158684,0.144006,0.169007,0.00935,0.025001,"{""ai"": 3, ""real"": 1}",1,label_flip,uncertain,,near_threshold_band,real,0.144006,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_028_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,0.140745,0.116493,0.165737,0.018018,0.049244,"{""ai"": 1, ""real"": 3}",1,label_flip,uncertain,,near_threshold_band,real,0.116493,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_029_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,0.148494,0.143738,0.151905,0.003052,0.008167,"{""ai"": 2, ""real"": 2}",2,label_flip,uncertain,,weak_vote_majority,real,0.14814,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_030_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,0.166276,0.151092,0.173747,0.00901,0.022655,"{""ai"": 4, ""real"": 0}",0,stable,uncertain,,near_threshold_band,ai,0.151092,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_031_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,0.202506,0.195215,0.210007,0.005742,0.014792,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.199049,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_032_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,0.188105,0.168121,0.197743,0.011858,0.029622,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.168121,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_033_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,0.150787,0.133791,0.15987,0.010186,0.026079,"{""ai"": 3, ""real"": 1}",1,label_flip,uncertain,,near_threshold_band,real,0.133791,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_034_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,0.213339,0.191279,0.225474,0.013098,0.034195,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.191279,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_035_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,0.216708,0.197107,0.227865,0.011751,0.030758,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.197107,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_036_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,0.196239,0.178706,0.205144,0.010432,0.026438,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.178706,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_037_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,0.146341,0.137415,0.152932,0.005995,0.015517,"{""ai"": 2, ""real"": 2}",2,label_flip,uncertain,,weak_vote_majority,ai,0.152932,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_038_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,0.181242,0.150864,0.202208,0.019478,0.051344,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.150864,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_039_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,0.183472,0.17257,0.189971,0.006964,0.017401,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.17257,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_040_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,0.210102,0.192899,0.219832,0.010405,0.026933,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.192899,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_041_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,0.171349,0.14838,0.213678,0.025103,0.065298,"{""ai"": 3, ""real"": 1}",1,score_unstable,uncertain,,resolution_flip,ai,0.213678,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_042_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,0.208076,0.186797,0.220501,0.012861,0.033704,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.186797,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_043_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,0.165821,0.137148,0.187689,0.018799,0.050541,"{""ai"": 3, ""real"": 1}",1,label_flip,uncertain,,near_threshold_band,real,0.137148,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_044_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,0.197939,0.187795,0.204389,0.006652,0.016594,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.187795,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_045_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,0.21173,0.17365,0.236123,0.023829,0.062473,"{""ai"": 4, ""real"": 0}",0,score_unstable,uncertain,,unstable_score_range,ai,0.17365,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_046_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,0.192088,0.182559,0.201233,0.008249,0.018674,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.182559,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_047_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,0.200611,0.190122,0.20679,0.00676,0.016668,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.190122,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_048_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,0.244129,0.21219,0.259076,0.018858,0.046886,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.21219,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_049_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,0.20155,0.175567,0.215227,0.015324,0.03966,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.175567,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_050_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,0.236548,0.192958,0.293513,0.036366,0.100555,"{""ai"": 4, ""real"": 0}",0,score_unstable,uncertain,,unstable_score_std,ai,0.192958,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_051_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,0.17194,0.157299,0.178304,0.008539,0.021005,"{""ai"": 4, ""real"": 0}",0,stable,uncertain,,near_threshold_band,ai,0.157299,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_052_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,0.209182,0.18141,0.225317,0.016964,0.043907,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.18141,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_053_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,0.207621,0.18655,0.21823,0.012363,0.03168,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.18655,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_054_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,0.237342,0.208968,0.249765,0.016668,0.040797,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.208968,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_055_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,0.214794,0.194432,0.226289,0.012261,0.031857,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.194432,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_056_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,0.214628,0.201857,0.225246,0.008565,0.023389,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.212944,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_057_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,0.20251,0.192657,0.211405,0.008274,0.018748,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.192657,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_058_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,0.239518,0.204306,0.256944,0.021107,0.052638,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.204306,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_059_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,0.232064,0.212522,0.242125,0.01159,0.029603,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.212522,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_060_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,0.216363,0.201862,0.228071,0.009916,0.026209,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.213175,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_061_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,0.213633,0.195252,0.2236,0.011039,0.028348,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.195252,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_062_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,0.212697,0.198349,0.220731,0.008616,0.022382,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.198349,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_063_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,0.215201,0.201624,0.225778,0.010441,0.024154,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.201624,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_064_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,0.162506,0.139138,0.176592,0.014382,0.037454,"{""ai"": 3, ""real"": 1}",1,label_flip,uncertain,,near_threshold_band,real,0.139138,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_065_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,0.16996,0.145129,0.184086,0.01484,0.038957,"{""ai"": 3, ""real"": 1}",1,label_flip,uncertain,,near_threshold_band,real,0.145129,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_066_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,0.184659,0.16765,0.192682,0.01005,0.025032,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.16765,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_067_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,0.154964,0.139989,0.164511,0.009085,0.024522,"{""ai"": 3, ""real"": 1}",1,label_flip,uncertain,,near_threshold_band,real,0.139989,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_068_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,0.221656,0.200012,0.23355,0.012894,0.033538,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.200012,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_069_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,0.166237,0.134246,0.22101,0.034938,0.086764,"{""ai"": 2, ""real"": 2}",1,score_unstable,uncertain,,resolution_flip,ai,0.22101,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_070_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,0.180337,0.151675,0.19693,0.01819,0.045255,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.195141,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_071_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,0.190483,0.156276,0.207898,0.020704,0.051622,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.156276,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_072_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,0.175724,0.16149,0.183792,0.008496,0.022302,"{""ai"": 4, ""real"": 0}",0,stable,uncertain,,near_threshold_band,ai,0.16149,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_073_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,0.22169,0.178281,0.253344,0.028008,0.075063,"{""ai"": 4, ""real"": 0}",0,score_unstable,uncertain,,unstable_score_range,ai,0.178281,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_074_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,0.181664,0.15688,0.195512,0.015137,0.038632,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.15688,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_075_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,0.216122,0.206198,0.225129,0.007848,0.018931,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.210822,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_076_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,0.218913,0.193969,0.230703,0.014591,0.036734,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.193969,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_077_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,0.204531,0.176605,0.219586,0.016889,0.042981,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.176605,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_078_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,0.215012,0.198327,0.22394,0.010045,0.025613,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.198327,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_079_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,0.191748,0.173735,0.200776,0.010578,0.027041,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.173735,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_080_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,0.202948,0.191185,0.209231,0.007185,0.018046,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.191185,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_081_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,0.213924,0.205992,0.22366,0.007971,0.017668,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.206136,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_082_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,0.214234,0.199789,0.222005,0.00869,0.022216,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.199789,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_083_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,0.204423,0.185383,0.213972,0.011171,0.028589,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.185383,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_084_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,0.210806,0.188469,0.221559,0.013078,0.03309,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.188469,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_085_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,0.180627,0.166582,0.186431,0.008156,0.019849,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.166582,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_086_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,0.201268,0.172729,0.219368,0.017749,0.046639,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.172729,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_087_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,0.206303,0.17465,0.224362,0.019444,0.049712,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.17465,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_088_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,0.178252,0.168605,0.185009,0.006913,0.016404,"{""ai"": 4, ""real"": 0}",0,stable,uncertain,,near_threshold_band,ai,0.168605,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_089_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,0.20861,0.196035,0.21512,0.007716,0.019085,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.196035,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_090_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,0.211011,0.190061,0.221285,0.012266,0.031224,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.190061,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_091_people_partial_jpg_q95.jpg,ai,ai_jpg,jpg,0.153395,0.122964,0.203972,0.032596,0.081008,"{""ai"": 2, ""real"": 2}",1,score_unstable,uncertain,,resolution_flip,ai,0.203972,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_092_people_partial_jpg_q95.jpg,ai,ai_jpg,jpg,0.2211,0.198922,0.235467,0.014021,0.036545,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.198922,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_093_people_partial_jpg_q95.jpg,ai,ai_jpg,jpg,0.20725,0.181552,0.219808,0.015195,0.038256,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.181552,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_094_people_partial_jpg_q95.jpg,ai,ai_jpg,jpg,0.154718,0.140832,0.163305,0.008533,0.022473,"{""ai"": 3, ""real"": 1}",1,label_flip,uncertain,,near_threshold_band,real,0.140832,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_095_people_partial_jpg_q95.jpg,ai,ai_jpg,jpg,0.18721,0.169401,0.198697,0.011052,0.029296,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.193495,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_096_people_partial_jpg_q95.jpg,ai,ai_jpg,jpg,0.134078,0.127497,0.139908,0.004422,0.012411,"{""ai"": 0, ""real"": 4}",0,stable,uncertain,,near_threshold_band,real,0.127497,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_097_people_partial_jpg_q95.jpg,ai,ai_jpg,jpg,0.200488,0.164756,0.223358,0.022493,0.058602,"{""ai"": 4, ""real"": 0}",0,stable,ai,true,stable_ai_high_confidence,ai,0.164756,false,success,0
data\test_images\day14_expansion\paired_format\ai_jpg\ai_098_people_partial_jpg_q95.jpg,ai,ai_jpg,jpg,0.159891,0.145131,0.171207,0.010315,0.026076,"{""ai"": 3, ""real"": 1}",1,label_flip,uncertain,,near_threshold_band,ai,0.171207,false,success,0
