image_path,true_label,ai_score,predicted_label_at_best_threshold,distance_to_threshold,explanation_if_available
data\test_images\ai\ai_006.png,ai,0.1786,ai,0.0286,"No EXIF metadata was found, which is common for generated or heavily processed images. | Color entropy is high, suggesting a broad natural-looking color distribution. | Compression fallback found very weak 8x8 block artifacts. | risk_score=59.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\ai\ai_008.png,ai,0.1805,ai,0.0305,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Color entropy is high, suggesting a broad natural-looking color distribution. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | Compression fallback found very weak 8x8 block artifacts. | risk_score=48.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\ai\ai_007.png,ai,0.1871,ai,0.0371,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Edge density is high, showing many local transitions and details. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | Compression fallback found very weak 8x8 block artifacts. | risk_score=47.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\ai\ai_009.png,ai,0.1945,ai,0.0445,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Edge density is high, showing many local transitions and details. | Color entropy is high, suggesting a broad natural-looking color distribution. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | Compression fallback found very weak 8x8 block artifacts. | risk_score=43.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\real\phone_photo_002.jpg,real,0.1961,ai,0.0461,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Edge density is high, showing many local transitions and details. | Color entropy is high, suggesting a broad natural-looking color distribution. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | JPEG quality estimate is low enough to show clear recompression history. | risk_score=36.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\real\web_real_001.jpg,real,0.2024,ai,0.0524,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Edge density is high, showing many local transitions and details. | Color entropy is high, suggesting a broad natural-looking color distribution. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | JPEG quality estimate is low enough to show clear recompression history. | risk_score=36.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\ai\ai_002.png,ai,0.2086,ai,0.0586,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Edge density is high, showing many local transitions and details. | Color entropy is high, suggesting a broad natural-looking color distribution. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | Compression fallback found very weak 8x8 block artifacts. | risk_score=43.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\real\phone_photo_001.jpg,real,0.2087,ai,0.0587,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Edge density is high, showing many local transitions and details. | Color entropy is high, suggesting a broad natural-looking color distribution. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | risk_score=40.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\real\phone_photo_004.jpg,real,0.2196,ai,0.0696,"No EXIF metadata was found, which is common for generated or heavily processed images. | JPEG quality estimate is low enough to show clear recompression history. | risk_score=56.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\real\phone_photo_005.jpg,real,0.2209,ai,0.0709,"Color entropy is high, suggesting a broad natural-looking color distribution. | risk_score=46.0; day5_prediction=uncertain; day5_confidence=low"
